String 1,String 2,Start Phrase
ಈ ಆಹಾರವು ಸಾವಯವಾಗಿದೆ,ಈ ಆಹಾರವು ಸಾವಯವಾಗಿಲ್ಲ, ಈ ಆಹಾರವು (ಆಯುರ್ವೇದದಷ್ಟು/ ಮಾತ್ರೆಯಷ್ಟು )ಸಾವಯವಾಗಿದೆ
ಈ ಆಹಾರವು ರಾಸಾಯನಿಕವಾಗಿದೆ,ಈ ಆಹಾರವು ರಾಸಾಯನಿಕವಾಗಿಲ್ಲ, ಈ ಆಹಾರವು (ಮಾತ್ರೆಯಷ್ಟು /ಆಯುರ್ವೇದದಷ್ಟು) ರಾಸಾಯನಿಕವಾಗಿದೆ
ಈ ಅಕ್ಷರಗಳು ಮೂಲಭೂತವಾಗಿದೆ,ಈ ಅಕ್ಷರಗಳು ಮೂಲಭೂತವಾಗಿಲ್ಲ, ಈ ಅಕ್ಷರಗಳು (ವರ್ಣಮಾಲೆಯಂತೆ/ಪ್ರಬಂಧದಂತೆ )ಮೂಲಭೂತವಾಗಿದೆ
ಈ ನೆಲವು ಒಣಗಿದೆ,ಈ ನೆಲವು ಒಣಗಿಲ್ಲ,ಈ ನೆಲವು (ಮರುಭೂಮಿಯಂತೆ /ವ್ಯವಸಾಯದ ನೆಲದಂತೆ )ಒಣಗಿದೆ
"ಆತನ ಸ್ನಾಯುಗಳು ಗಟ್ಟಿ 

","ಆತನ ಸ್ನಾಯುಗಳು ಗಟ್ಟಿಯಿಲ್ಲ
",ಆತನ ಸ್ನಾಯುಗಳು (ಖುಸ್ತಿ ಪಟುವಿನಂತೆ /ರೋಗಿಯಂತೆ) ಇದ್ದಾವೆ
 ಆತನು ನಿಷ್ಟಾವಂತ, ಆತನು ನಿಷ್ಟಾವಂತನಲ್ಲ , ಆತನು ( ನಾಯಿಯಂತೆ/ ಬೆಕ್ಕಿನಂತೆ) ನಿಷ್ಟಾವಂತ
ಅದು ತಾಜ್ ಮಹಲ್ ನಂತೆ ಪ್ರಸಿದ್ಧ ,ಅದು ತಾಜ್ ಮಹಲ್ ನಂತೆ ಪ್ರಸಿದ್ಧವಾಗಿಲ್ಲ,ಅದು( ತಾಜ್ ಮಹಲ್ ನಂತೆ/ ಗೋಲ್ ಗುಂಬಜ್ ನಂತೆ )ದೊಡ್ಡದಾಗಿದೆ
ಈ ಕ್ರಿಮಿ ಸೂಕ್ಷ್ಮದರ್ಶಕವಾಗಿದೆ,ಈ ಕ್ರಿಮಿ ಸೂಕ್ಷ್ಮದರ್ಶಕವಾಗಿಲ್ಲ,ಈ ಕ್ರಿಮಿ( ಹುಳದಂತೆ /ವೈರಸ್ ನಂತೆ) ಸೂಕ್ಷ್ಮದರ್ಶಕವಾಗಿದೆ
 ಈ ಲೋಹವು ಹೆಚ್ಚು ಬೆಲೆ ಬಾಳುತ್ತದೆ, ಈ ಲೋಹವು ಕಡಿಮೆ ಬೆಲೆ ಬಾಳುತ್ತದೆ, ಈ ಲೋಹವು( ವಜ್ರದಂತೆ/ಬೆಳ್ಳಿಯಂತೆ) ಬೆಲೆ ಬಾಳುತ್ತದೆ
ಆತನು  ಅಪಾಯಕಾರಿಯಾಗಿದ್ದಾನೆ,ಆತನು  ಅಪಾಯಕಾರಿಯಾಗಿಲ್ಲ,ಆತನು ( ಸನ್ಯಾಸಿಯಂತೆ/ ದರೋಡೆ ಕೋರನಂತೆ) ಅಪಾಯಕಾರಿಯಾಗಿದ್ದಾನೆ
ಆತ ಹಾಸ್ಯಾಸ್ಪದನಾಗಿದ್ದಾನೆ,ಆತ ಹಾಸ್ಯಾಸ್ಪದನಾಗಿಲ್ಲ, ಆತ (ಜೋಕರ್ ನಂತೆ/ ಡಾಕ್ಟರ್ ನಂತೆ )ಹಾಸ್ಯಾಸ್ಪದನಾಗಿದ್ದಾನೆ
ಈ ನೀರು ಉಪ್ಪಾಗಿದೆ,ಈ ನೀರು ಉಪ್ಪಾಗಿಲ್ಲ, ಈ ನೀರು (ಸಿಹಿ ನೀರಿನಂತೆ/ ಸಮುದ್ರ ನೀರಿನಂತೆ) ಉಪ್ಪಾಗಿದೆ
ಈ ಆಹಾರವು ರುಚಿಯಾಗಿದೆ,ಈ ಆಹಾರವು ರುಚಿಯಾಗಿಲ್ಲ,ಈ ಆಹಾರವು (ಪಥ್ಯದಂತೆ/ ಬಿರಿಯಾನಿಯಂತೆ) ರುಚಿಯಾಗಿದೆ
ಇದು ಅಸಿಡಿಕ್ ಆಗಿದೆ,ಇದು ಅಸಿಡಿಕ್ ಆಗಿಲ್ಲ, ಇದು (ನೀರಿನಂತೆ /ಅಲ್ಕೊ ಹಾಲ್ ನಂತೆ) ಅಸಿಡಿಕ್ ಆಗಿದೆ.
ಆತ ಕ್ರೂರಿಯಾಗಿದ್ದಾನೆ,ಆತ ಕ್ರೂರಿಯಾಗಿಲ್ಲ,ಆತ  (ದೆವ್ವದಂತೆ/ ದೇವರಂತೆ) ಕ್ರೂರಿಯಾಗಿದ್ದಾನೆ
ಆತ ದಯಾಮಯನಾಗಿದ್ದಾನೆ,ಆತ ದಯಾಮಯನಾಗಿಲ್ಲ,ಆತ (ದೇವರಂತೆ /ದೆವ್ವದಂತೆ )ದಯಾಮಯನಾಗಿದ್ದಾನೆ
ಅವನು ಉತ್ಸಾಹಿಯಾಗಿದ್ದಾನೆ,ಅವನು ಉತ್ಸಾಹಿಯಾಗಿಲ್ಲ,ಅವನು (ಮಕ್ಕಳಂತೆ/ ತಾತನಂತೆ )ಉತ್ಸಾಹಿಯಾಗಿದ್ದಾನೆ
ಆತನು ಶಕ್ತಿಶಾಲಿಯಾಗಿದ್ದಾನೆ,ಆತನು ಶಕ್ತಿಶಾಲಿಯಾಗಿಲ್ಲ,ಆತನು( ಕ್ರೀಡಾಪಟುವಿನಂತೆ/ ರೋಗಿಯಂತೆ )ಶಕ್ತಿಶಾಲಿಯಾಗಿದ್ದಾನೆ
ಅವನು ಬಲಹೀನನಾಗಿದ್ದಾನೆ,ಅವನು ಬಲಹೀನನಾಗಿಲ್ಲ,ಅವನು (ರೋಗಿಯಂತೆ/ ಖುಸ್ತಿಪಟುವಿನಂತೆ) ಬಲಹೀನನಾಗಿದ್ದಾನೆ
ಆ ವ್ಯಕ್ತಿ ಕ್ರಿಯೇಟಿವ್ ಆಗಿದ್ದಾರೆ,ಆ ವ್ಯಕ್ತಿ ಕ್ರಿಯೇಟಿವ್ ಆಗಿಲ್ಲ,ಆ ವ್ಯಕ್ತಿ (ಡೈರೆಕ್ಟರ್/ಡ್ರೈವರ್ ನಷ್ಟು) ಕ್ರಿಯೇಟಿವ್ ಆಗಿದ್ದಾರೆ
ಈ ಹಣ್ಣು ಸಿಹಿಯಾಗಿದೆ,ಈ ಹಣ್ಣು ಸಿಹಿಯಾಗಿಲ್ಲ,ಈ ಹಣ್ಣು (ಹಲಸಿನ ಹಣ್ಣಿನ ಥರ /ಸವತೆ ಕಾಯಿ )ಹಾಗೆ ಸಿಹಿಯಾಗಿದೆ.
ಆ ಹಣ್ಣು ಕ್ಯಾಲ್ಸಿಯಂ ಹೊಂದಿದೆ.,ಆ ಹಣ್ಣು ಕ್ಯಾಲ್ಸಿಯಂ ಹೊಂದಿಲ್ಲ,ಆ ಹಣ್ಣು (ಹಾಲಿನಷ್ಟು/ ನೀರಿನಷ್ಟು) ಕ್ಯಾಲ್ಸಿಯಂ ಹೊಂದಿದೆ.
ಆ ಜಾಗವು ಹೆಚ್ಚು ನೀರು ಹೊಂದಿದೆ,ಆ ಜಾಗವು ಹೆಚ್ಚು ನೀರು ಹೊಂದಿಲ್ಲ,ಆ ಜಾಗವು (ದ್ವೀಪ ದಂತೆ /ಮರುಭೂಮಿಯ ಹಾಗೆ )ಹೆಚ್ಚು ನೀರು ಹೊಂದಿದೆ
ಈ ಪ್ರಾಣಿ ಹೆಚ್ಚು ಕಾಲ ಜೀವಿಸುತ್ತದೆ,ಈ ಪ್ರಾಣಿಹೆಚ್ಚು ಕಾಲ ಜೀವಿಸುವುದಿಲ್ಲ ,ಈ ಪ್ರಾಣಿ (ಆಮೆಯ ಹಾಗೆ /ಸೊಳ್ಳೆಯಂತೆ) ಹೆಚ್ಚು ಕಾಲ ಜೀವಿಸುತ್ತದೆ
ಈ ಪ್ರಾಣಿಯು ವೇಗವಾಗಿದೆ,ಈ ಪ್ರಾಣಿಯು ವೇಗವಾಗಿಲ್ಲ,ಈ ಪ್ರಾಣಿಯು (ಹಾವಿನಂತೆ/ಎಮ್ಮೆಯಂತೆ) ವೇಗವಾಗಿದೆ
ಆಕೆಯ ಮುಖವು ಗುಂಡಾಗಿದೆ,ಆಕೆಯ ಮುಖವು ಗುಂಡಾಗಿಲ್ಲ,ಆಕೆಯ ಮುಖವು (ಚಂದ್ರನಂತೆ /ಅಮೀಬಾದಂತೆ) ಗುಂಡಾಗಿದೆ
ಈ ಸಾಂಬಾರು ಸಿಹಿಯಾಗಿದೆ,ಈ ಸಾಂಬಾರು ಸಿಹಿಯಾಗಿಲ್ಲ,ಈ ಸಾಂಬಾರು ( ಪಾಯಸದಂತೆ/ಮೆಣಸಿನಕಾಯಿಯಂತೆ) ಸಿಹಿಯಾಗಿದೆ
ಈ ನಗರ  ಶುಚಿಯಾಗಿದೆ,ಈ ನಗರ  ಶುಚಿಯಾಗಿಲ್ಲ,ಈ ನಗರ ( ಬಡಾವಣೆಯಂತೆ/ ಸ್ಲಂ ನಂತೆ) ಶುಚಿಯಾಗಿದೆ
ಆಕೆಯ ಕಣ್ಣುಗಳು ಕೆಂಪಾಗಿವೆ,ಆಕೆಯ ಕಣ್ಣುಗಳು ಕೆಂಪಾಗಿಲ್ಲ,ಆಕೆಯ ಕಣ್ಣುಗಳು( ರಕ್ತದಂತೆ /ನೀರಿನಂತೆ )ಕೆಂಪಾಗಿವೆ
ಈ ಹಾಲು ಹೆಚ್ಚು ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿದೆ,ಈ ಹಾಲು ಹೆಚ್ಚು ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿಲ್ಲ,ಈ ಹಾಲು (ತಾಯಿಯ ಹಾಲಿನಷ್ಟು /ಫಾರ್ಮುಲಾ ಹಾಲಿನಷ್ಟು) ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿದೆ
ಅವರು ಹೆಚ್ಚು ಕಲ್ಪನಾಶಕ್ತಿ ಹೊಂದಿದ್ದಾರೆ.,ಅವರು ಹೆಚ್ಚು ಕಲ್ಪನಾಶಕ್ತಿ ಹೊಂದಿಲ್ಲ ,ಅವರು (ಡೈರೆಕ್ಟರ್/ಆಕ್ಟರ್ ನಷ್ಟು)  ಕಲ್ಪನಾಶಕ್ತಿ ಹೊಂದಿದ್ದಾರೆ.
ಈ ದೇಹಕ್ಕೆ  ನೀರು ಅತಿ ಅವಶ್ಯಕವಾಗಿದೆ,ಈ ದೇಹಕ್ಕೆ  ನೀರು ಅತಿ ಅವಶ್ಯಕವಾಗಿಲ್ಲ ,ಈ ದೇಹಕ್ಕೆ( ನೀರು /ಆಲ್ಕೋಹಾಲ್) ಅತಿ ಅವಶ್ಯಕವಾಗಿದೆ
ಕ್ರೀಡಾಕೂಟವು  ಹೆಚ್ಚು  ಇತಿಹಾಸ ಹೊಂದಿದೆ,ಕ್ರೀಡಾಕೂಟವು  ಹೆಚ್ಚು  ಇತಿಹಾಸ ಹೊಂದಿಲ್ಲ ,ಕ್ರೀಡಾಕೂಟವು  (ಒಲಂಪಿಕ್ ನಶ್ಟು/ ವಿಶ್ವಕಪ್ ನಶ್ಟು) ಇತಿಹಾಸ ಹೊಂದಿದೆ
ಈ ದಿನ ಹೆಚ್ಚು ಗಾಳಿ ಬೀಸಿತು,ಈ ದಿನ ಹೆಚ್ಚು ಗಾಳಿ ಬೀಸಿಲ್ಲ ,ಈ ದಿನ( ಚಂಡಮಾರುತ ದಷ್ಟು/ ಭೂಕಂಪ ದಷ್ಟು) ಹೆಚ್ಚು ಗಾಳಿ ಬೀಸಿತು
ನಾನು  ನಿದ್ರಿಸುತ್ತೇನೆ,ನಾನು  ನಿದ್ರಿಸುತ್ತಿಲ್ಲ,ನಾನು (ಮಗುವಿನಂತೆ /ವಯಸ್ಕರರಂತೆ) ನಿದ್ರಿಸುತ್ತೇನೆ
ಅವರು ಹೆಚ್ಚು ಪ್ರಯೋಗ ಮಾಡುತ್ತಾರೆ,ಅವರು ಹೆಚ್ಚು ಪ್ರಯೋಗ ಮಾಡುವುದಿಲ್ಲ ,ಅವರು (ವಿಜ್ಞಾನಿಗಳಂತೆ /ಇತಿಹಾಸಕಾರರಂತೆ )ಹೆಚ್ಚು ಪ್ರಯೋಗ ಮಾಡುತ್ತಾರೆ
ಅವನು ಕೆಲಸದಲ್ಲಿ ಒತ್ತಡಕ್ಕೆ ಒಳಗಾಗಿದ್ದರು,ಅವನು ಕೆಲಸದಲ್ಲಿ ಒತ್ತಡಕ್ಕೆ ಒಳಗಾಗಿಲ್ಲ ,ಅವನು ಕೆಲಸದಲ್ಲಿ (ಹೊಸಬರಂತೆ/ ಅನುಭವಿಗಳಂತೆ) ಒತ್ತಡಕ್ಕೆ ಒಳಗಾಗಿದ್ದರು
ಅವರು ಕಂಪನಿಗೆ ಪ್ರಮುಖವಾಗಿದ್ದಾರೆ.,ಅವರು ಕಂಪನಿಗೆ ಪ್ರಮುಖವಾಗಿಲ್ಲ.,ಅವರು ಕಂಪನಿಗೆ (ಸಿಇಓ ನ ಹಾಗೆ /ಸಾಮಾನ್ಯ ಉದ್ಯೋಗಿಯಂತೆ) ಪ್ರಮುಖವಾಗಿದ್ದಾರೆ.
ಅವರು ಹೆಚ್ಚು ಕಾವ್ಯಾತ್ಮಕರಾಗಿದ್ದಾರೆ,ಅವರು ಹೆಚ್ಚು ಕಾವ್ಯಾತ್ಮಕರಾಗಿಲ್ಲ,ಅವರು( ಬರಹಗಾರರಂತೆ/ ಓದುಗರಂತೆ) ಹೆಚ್ಚು ಕಾವ್ಯಾತ್ಮಕರಾಗಿದ್ದಾರೆ
ನಾನು ಹೆಚ್ಚು ತಾಂತ್ರಿಕ ಜ್ಞಾನ ಹೊಂದಿದ್ದೇನೆ.,ನಾನು ಹೆಚ್ಚು ತಾಂತ್ರಿಕ ಜ್ಞಾನ ಹೊಂದಿಲ್ಲ,ನಾನು  (ಎಂಜಿನಿಯರ್ ನಂತೆ/ ಕವಿಯಂತೆ )ಹೆಚ್ಚು ತಾಂತ್ರಿಕ ಜ್ಞಾನ ಹೊಂದಿದ್ದೇನೆ.
ನನ್ನ ತಂದೆ ಹಾಸ್ಯ ಪ್ರಜ್ಞೆ ಹೊಂದಿದ್ದಾರೆ,ನನ್ನ ತಂದೆ ಹಾಸ್ಯ ಪ್ರಜ್ಞೆ ಹೊಂದಿಲ್ಲ ,ನನ್ನ ತಂದೆ (ಕಾಮಿಡಿಯನ್ ರಂತೆ /ಕುಸ್ತಿಪಟುವಿನಂತೆ) ಹಾಸ್ಯ ಪ್ರಜ್ಞೆ ಹೊಂದಿದ್ದಾರೆ
ಅದು ನಿಗೂಢವಾಗಿದೆ.,ಅದು ನಿಗೂಢವಾಗಿಲ್ಲ ,ಅದು (ಬಾಹ್ಯಕಾಶದಂತೆ/ ಕವಿತೆಯಂತೆ )ನಿಗೂಢವಾಗಿದೆ.
ಆ ವಿಷಯವು  ಕಷ್ಟಕರ,"ಆ ವಿಷಯವು  ಕಷ್ಟವಲ್ಲ 
",ಆ ವಿಷಯವು (ಪಿಎಚ್ಡಿ ಪಡೆಯುವಷ್ಟು/ ಡಿಗ್ರಿ ಪಡೆಯುವಷ್ಟು) ಕಷ್ಟಕರ
ಆ ಘಟನೆ ಸಾಮಾನ್ಯವಾಗಿದೆ,ಆ ಘಟನೆ ಸಾಮಾನ್ಯವಾಗಿಲ್ಲ,ಆ ಘಟನೆ (ಮಳೆಯಷ್ಟು /ಭೂಕಂಪ ದಷ್ಟು) ಸಾಮಾನ್ಯವಾಗಿದೆ
ಆ ವಿಷಯವು ಸಾಮಾನ್ಯವಾಗಿದೆ,ಆ ವಿಷಯವು ಸಾಮಾನ್ಯವಾಗಿಲ್ಲ,ಆ ವಿಷಯವು (ಕಾರ್ ಹೊಂದಿದಷ್ಟು/ ಫ್ಲೈಟ್ ಹೊಂದಿದಷ್ಟು) ಸಾಮಾನ್ಯವಾಗಿದೆ
ಸಮಾಜದಲ್ಲಿ ಅವರು ಹೆಚ್ಚು ಗೌರವ ಹೊಂದಿದ್ದಾರೆ,ಸಮಾಜದಲ್ಲಿ ಅವರು ಹೆಚ್ಚು ಗೌರವ ಹೊಂದಿಲ್ಲ,ಸಮಾಜದಲ್ಲಿ ಅವರು (ಜಡ್ಜ್ ನಂತೆ/ ಅಪರಾಧಿ ಯಂತೆ) ಹೆಚ್ಚು ಗೌರವ ಹೊಂದಿದ್ದಾರೆ
ಅವರು ವೈಭವದ ಜೀವನ ನಡೆಸುತ್ತಾರೆ,ಅವರು ವೈಭವದ ಜೀವನ ನಡೆಸುತ್ತಿಲ್ಲ,ಅವರು( ರಾಜರಂತೆ/ ರೈತರಂತೆ )ವೈಭವದ ಜೀವನ ನಡೆಸುತ್ತಾರೆ
ಬೆಕ್ಕು ಸಾಕು ಪ್ರಾಣಿಯಾಗಿದೆ,ಬೆಕ್ಕು ಸಾಕು ಪ್ರಾಣಿಯಲ್ಲ ,ಬೆಕ್ಕು (ನಾಯಿಯಂತೆ/ ಹುಲಿಯಂತೆ) ಸಾಕು ಪ್ರಾಣಿಯಾಗಿದೆ
ನಮ್ಮ ಊರು ಕಡಿಮೆ ಜನಸಂಖ್ಯೆ ಹೊಂದಿದೆ,ನಮ್ಮ ಊರು ಕಡಿಮೆ ಜನಸಂಖ್ಯೆ ಹೊಂದಿಲ್ಲ ,ನಮ್ಮ ಊರು (ಕಾಡಿನಂತೆ /ನಗರದ ಹಾಗೆ )ಕಡಿಮೆ ಜನಸಂಖ್ಯೆ ಹೊಂದಿದೆ
ಅದರ ಬೇರು ಗಟ್ಟಿಯಾಗಿದೆ,ಅದರ ಬೇರು ಗಟ್ಟಿಯಾಗಿಲ್ಲ ,ಅದರ ಬೇರು( ಮರದ ಬೇರಿ ನಷ್ಟು/ ಗಿಡದ ಬೇರಿನಷ್ಟು) ಗಟ್ಟಿಯಾಗಿದೆ
ಅಲ್ಲಿ ವಾತಾವರಣವು ಶೆಕೆ ಹೊಂದಿದೆ,ಅಲ್ಲಿ ವಾತಾವರಣವು ಶೆಕೆ ಹೊಂದಿಲ್ಲ ,ಅಲ್ಲಿ ವಾತಾವರಣವು (ಮರುಭೂಮಿ ಯಂತೆ/ ಪರ್ವತದಂತೆ )ಶೆಕೆ ಹೊಂದಿದೆ
ಆ ಪಕ್ಷಿಯ ಗಾತ್ರ ಕಡಿಮೆಯಿದೆ,ಆ ಪಕ್ಷಿಯ ಗಾತ್ರ ಕಡಿಮೆಯಿಲ್ಲ ,ಆ ಪಕ್ಷಿಯ ಗಾತ್ರ (ಗುಬ್ಬಚಿಯಷ್ಟು/ ಹದ್ದಿನಷ್ಟು) ಕಡಿಮೆಯಿದೆ
ಆ ವಸ್ತುವಿನ ಬೆಲೆ ಅಗ್ಗ,ಆ ವಸ್ತುವಿನ ಬೆಲೆ ದುಬಾರಿ ,ಆ ವಸ್ತುವಿನ ಬೆಲೆ (ಇತ್ತಾಳೆ ಯಷ್ಟು/ ಚಿನ್ನದಷ್ಟು) ಅಗ್ಗ
ಅವಳ ಕಂಗಳು ಹೊಳೆಯುತ್ತಿದ್ದವು,ಅವಳ ಕಂಗಳು ಹೊಳೆಯುತ್ತಿರಲಿಲ್ಲ ,ಅವಳ ಕಂಗಳು (ನಕ್ಷತ್ರದಂತೆ/ ಕಲ್ಲಿನಂತೆ) ಹೊಳೆಯುತ್ತಿದ್ದವು
ಆ ಸಾಮಾನು ತುಕ್ಕು ಹಿಡಿದಿದೆ,ಆ ಸಾಮಾನು ತುಕ್ಕು ಹಿಡಿದಿಲ್ಲ,ಆ ಸಾಮಾನು  (ಕಬ್ಬಿಣದಂತೆ/ ಚಿನ್ನದಂತೆ) ತುಕ್ಕು ಹಿಡಿದಿದೆ
ಅವನು ಕಾನೂನಾತ್ಮಕವಾಗಿದ್ದನು,ಅವನು ಕಾನೂನಾತ್ಮಕವಾಗಿಲ್ಲ,ಅವನು (ಪೊಲೀಸ್ ನಂತೆ /ಕಳ್ಳ ರಂತೆ )  ಕಾನೂನಾತ್ಮಕವಾಗಿದ್ದನು
ಅಲ್ಲಿ ಹೆಚ್ಚು ಜನ ಸೇರಿದ್ದಾರೆ,ಅಲ್ಲಿ ಹೆಚ್ಚು ಜನ ಸೇರಿಲ್ಲ,ಅಲ್ಲಿ( ಸ್ಟೇಡಿಯಂ ನಲ್ಲಿರುವಶ್ಟು/ ಸಿನಿಮಾ ಹಾಲ್ ನಶ್ಟು) ಹೆಚ್ಚು ಜನ ಸೇರಿದ್ದಾರೆ
ಆ ವಸ್ತು ದುಂಡಾಗಿದೆ,ಆ ವಸ್ತು ದುಂಡಾಗಿಲ್ಲ,ಆ ವಸ್ತು (ಫುಟ್ಬಾಲ್ ನಂತೆ/ ಕ್ರಿಕೆಟ್ ಬ್ಯಾಟ್) ನಂತೆ ದುಂಡಾಗಿದೆ.
ಅವನು ಆಕರ್ಷಕವಾಗಿ ಈಜುತ್ತಾನೆ,ಅವನು ಆಕರ್ಷಕವಾಗಿ ಈಜುವುದಿಲ್ಲ ,ಅವನು (ಡಾಲ್ಫಿನ್ ನಂತೆ /ಕ್ರೊಕೊಡೈಲ್ ನಂತೆ) ಆಕರ್ಷಕವಾಗಿ ಈಜುತ್ತಾನೆ
ಆ ಪ್ರಾಣಿಯು ಹೆಚ್ಚು ಚೇಷ್ಟೆ ಮಾಡುತ್ತದೆ,ಆ ಪ್ರಾಣಿಯು ಹೆಚ್ಚು ಚೇಷ್ಟೆ ಮಾಡುವುದಿಲ್ಲ ,ಆ ಪ್ರಾಣಿಯು (ಕೋತಿಯಂತೆ/ ಸಿಂಹದಂತೆ) ಹೆಚ್ಚು ಚೇಷ್ಟೆ ಮಾಡುತ್ತದೆ
ಈ ವಸ್ತು ಹೆಚ್ಚು ಮೌಲ್ಯ ಹೊಂದಿದೆ,ಈ ವಸ್ತು ಹೆಚ್ಚು ಮೌಲ್ಯ ಹೊಂದಿಲ್ಲ,ಈ ವಸ್ತು (ಡಾಲರ್ ನಷ್ಟು/ ರೂಪಾಯಿ ಯಷ್ಟು )ಹೆಚ್ಚು ಮೌಲ್ಯ ಹೊಂದಿದೆ
ಅವನ ನಗು ನಿಷ್ಕಲ್ಮಶವಾಗಿದೆ.,ಅವನ ನಗು ನಿಷ್ಕಲ್ಮಶವಾಗಿಲ್ಲ, ಅವನ ನಗು (ಮಗುವಿನಷ್ಟು/ ವಯಸ್ಕರರಷ್ಟು )ನಿಷ್ಕಲ್ಮಶವಾಗಿದೆ.
,,
,,
